                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        0                       11  0.1464992145994094E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7131660955467468E-003  0.2121507278218672E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8985355336150906E-003  0.2672938316626957E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1132089283040820E-002  0.3367709364633782E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1426354229761671E-002  0.4243086524867997E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1797116076180994E-002  0.5346032707786754E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2264269175885016E-002  0.6735737418161238E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2852890066624421E-002  0.8486815102895321E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3594595656787967E-002  0.1069334874978366E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4310613271404873E-002  0.1282350432110863E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.4845359651442472E-002  0.1441440694706143E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5657696245502804E-002  0.1683124231399092E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6810332129685205E-002  0.2026075463539085E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7588488093606408E-002  0.2257622688732360E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8366644057527611E-002  0.2489185795893606E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9385314974818423E-002  0.2792348197781281E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1040398589210923E-001  0.3095544706376872E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1171476086814543E-001  0.3485732987017586E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1302553584418163E-001  0.3875977327868168E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1446018013167572E-001  0.4303186058749100E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1589482441916982E-001  0.4730505584175873E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1729506089593216E-001  0.5147642020986976E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1869529737269449E-001  0.5564806766856081E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2009553384945683E-001  0.5981986314803161E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2082899056809246E-001  0.6200516709699846E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2156244728672809E-001  0.6419058262303343E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2285668774265139E-001  0.6804742024596470E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2402206014039376E-001  0.7152092016664968E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2508691058860281E-001  0.7469539911415224E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2584362984580366E-001  0.7695165015439663E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2660034910300451E-001  0.7920818997511547E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2796375434824161E-001  0.8327454465779567E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2937457257037916E-001  0.8748317444583645E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3066646190291267E-001  0.9133777095768715E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3186224053576833E-001  0.9490615239879181E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3242942460325468E-001  0.9659887516769498E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3297842305425909E-001  0.9823743843677669E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3422596292082628E-001  0.1019613607506832E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3539335388901379E-001  0.1054465049807151E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3649275902354505E-001  0.1087294917368208E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3753363573247148E-001  0.1118225622787117E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.3852348548313605E-001  0.1147257224149474E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
