                                                                                                                                                                                                                                                                
                        1                        2
                   M_star                   R_star
  0.9945999999999999E+034  0.3016908790335515E+012
                        1                        2                        3                        4                        5
                        l                     n_pg                Re(omega)                Im(omega)                   E_norm
                        0                        1  0.3493101410844601E+001  0.0000000000000000E+000  0.6211457365124299E-004
                        0                        2  0.4530315462781521E+001  0.0000000000000000E+000  0.3937829279246659E-005
                        0                        3  0.5504657142699490E+001  0.0000000000000000E+000  0.9105031730753571E-006
                        0                        4  0.6530646765804135E+001  0.0000000000000000E+000  0.3216202475777558E-006
                        0                        5  0.7638047929388963E+001  0.0000000000000000E+000  0.1262557482006941E-006
                        0                        6  0.8809295284508746E+001  0.0000000000000000E+000  0.5170923336219946E-007
                        0                        7  0.9976097172039282E+001  0.0000000000000000E+000  0.2188893673303784E-007
                        0                        8  0.1112028124938898E+002  0.0000000000000000E+000  0.1107980989163770E-007
                        0                       11  0.1464992145994094E+002  0.0000000000000000E+000  0.4378874365724021E-008
                        0                       16  0.2078269281402901E+002  0.0000000000000000E+000  0.2292723385035834E-008
                        0                       31  0.3956534910743093E+002  0.0000000000000000E+000  0.9225012539717571E-009
                        0                       48  0.6114149619351993E+002  0.0000000000000000E+000  0.8042027710793085E-009
